CUST_ID,PC1,PC2,SEGMENT_NAME,FRAUD_RISK_SCORE
C10001,-1.7972002460363614,-0.3647328235886337,Dormant/Low Engagement,2.92
C10002,2.8617487890818367,-0.8948405849269631,Cash Advance Users,22.42
C10003,-0.1142742914957092,0.1540367571061144,Dormant/Low Engagement,11.21
C10004,-0.347934950594515,0.3586495862755544,Dormant/Low Engagement,19.03
C10005,-0.7741637392334747,-0.8971001682059688,Revolvers,10.98
C10006,-0.5327843662035545,0.7608041681935845,Transactors,26.9
C10007,0.5019211528085669,3.969877568956532,Transactors,42.83
C10008,-0.5374263712527987,-0.3408156338679599,Revolvers,13.47
C10009,-0.721656987416787,0.2853725476983036,Dormant/Low Engagement,8.99
C10010,-0.5703965153201622,0.7897904776940674,Dormant/Low Engagement,14.05
C10011,-0.7845171811589973,0.5911838429753667,Transactors,25.3
C10012,-1.3486881517962528,0.9824784479237384,Transactors,11.98
C10013,-0.9472984624839018,1.8672638008935007,Transactors,26.26
C10014,-0.70108882975604,1.1490604529464097,Dormant/Low Engagement,12.55
C10015,1.04686836169723,-1.737498359330927,Revolvers,7.6
C10016,2.5156427999759345,0.0962829691851805,Cash Advance Users,39.21
C10017,1.1680343627800291,-1.758505894558836,Revolvers,7.56
C10018,-1.7092625650423257,0.0712003978931269,Dormant/Low Engagement,1.33
C10019,0.1514232387764378,0.710597177485658,Dormant/Low Engagement,23.26
C10020,0.2228838644883976,-0.3411929181603856,Revolvers,18.9
C10021,-0.3490912782311618,-0.7797291061151238,Revolvers,20.33
C10022,1.690709871170904,2.840613509932717,Transactors,45.92
C10023,-1.5551343236785902,0.7749631323656014,Dormant/Low Engagement,11.11
C10024,3.800948367794284,2.2545596140868267,Cash Advance Users,59.12
C10025,2.1037665484671906,-1.371737392644306,Revolvers,14.88
C10026,-1.5703543237556532,-0.0731636962780776,Dormant/Low Engagement,1.69
C10027,0.3796122364690816,-1.4788732439275687,Revolvers,14.27
C10028,-1.7587469413851469,-0.1447546707992498,Dormant/Low Engagement,4.99
C10029,2.908976155802024,-0.5529346755112882,Cash Advance Users,32.16
C10030,-1.2623888703782835,-0.037435733012685,Dormant/Low Engagement,6.64
C10031,4.821868636172272,1.2943029316453998,Cash Advance Users,61.76
C10032,-0.6920482722724113,0.426862064282404,Dormant/Low Engagement,13.22
C10033,2.5594525165720894,-0.5092901986138618,Cash Advance Users,26.07
C10034,-1.7091810198882638,0.4033619931269025,Dormant/Low Engagement,7.89
C10035,1.2676471919431889,1.55651582648163,Dormant/Low Engagement,38.12
C10036,0.5457028524010983,-1.898074938613737,Revolvers,7.56
C10037,4.6632096250496025,-1.296069773142977,Cash Advance Users,34.69
C10038,1.1832106373157942,0.5430758933109515,Revolvers,34.35
C10039,2.8205478548744414,-0.9623690077169534,Cash Advance Users,22.79
C10040,3.9211297452185847,2.1227208181310564,Cash Advance Users,58.65
C10041,0.8180716629262774,-1.326136252870778,Revolvers,15.74
C10043,-0.1564544625385543,0.2643819707177802,Revolvers,26.18
C10044,0.5540467002848402,-0.5830614820204033,Revolvers,16.62
C10045,0.7571270488901203,-1.967855355473324,Revolvers,7.9
C10046,0.9243521359382968,0.6419589736451439,Dormant/Low Engagement,20.81
C10047,-0.0445589568204046,-0.7992253392889755,Revolvers,21.67
C10048,-0.3921757140574962,-1.2977561472908852,Revolvers,20.32
C10049,1.7152682085637516,-1.797102885715252,Revolvers,15.8
C10050,-1.3381682472814778,1.7278935459512457,Transactors,15.84
C10051,-0.3106643500879698,-0.63280581557414,Revolvers,11.4
C10052,4.528178808116008,0.5261623241995002,Cash Advance Users,53.13
C10053,-1.0881065653468238,1.952079531185055,Transactors,23.65
C10054,0.3487959791842596,-1.4690841050198689,Revolvers,5.75
C10055,-0.214547780810895,0.9825529475547298,Transactors,32.37
C10056,-1.910336541177593,0.1067196039029814,Dormant/Low Engagement,11.69
C10057,-0.7431954407544967,0.3159419100756794,Dormant/Low Engagement,11.31
C10058,1.0120345727610776,-1.272392769234764,Revolvers,19.44
C10059,0.3735857217754617,3.07316491801726,Transactors,31.91
C10060,1.458662410030755,-1.6776191682019232,Revolvers,14.47
C10061,1.955299144402728,-0.8893726344452367,Revolvers,33.01
C10062,-0.0473442885479463,0.1794631763067427,Dormant/Low Engagement,13.9
C10063,-0.3461593445612857,-1.005268454516472,Revolvers,13.64
C10064,1.220897046865009,-0.8852318815436361,Revolvers,21.6
C10065,-1.8283638159708733,0.4731672284567872,Dormant/Low Engagement,11.6
C10067,0.432805973728941,1.223271070712754,Transactors,49.87
C10068,-0.3259836279169562,-0.4986900916013307,Revolvers,15.27
C10069,0.1346761950493429,-1.7850811887449232,Revolvers,8.38
C10070,0.421508935579067,-1.6717633983206746,Revolvers,6.24
C10071,1.1126356236796198,0.5635102993902324,Revolvers,28.31
C10072,-0.4234620252120114,0.7817133335015932,Transactors,25.48
C10073,1.581756736629326,-0.6742988066738713,Revolvers,28.55
C10074,10.034412694142716,4.35647841893117,Cash Advance Users,83.26
C10075,0.415835118535776,-1.03165006105639,Revolvers,13.22
C10077,-0.4542075619100139,-0.1131477332259114,Revolvers,11.77
C10078,-0.9337619101081738,0.3286710861081175,Dormant/Low Engagement,6.46
C10079,1.223379840359119,-0.0738253103742602,Revolvers,25.99
C10080,0.1504937153521166,0.7083770927901273,Dormant/Low Engagement,19.81
C10081,-1.2089221359375846,-0.0800321445278746,Dormant/Low Engagement,6.65
C10082,0.3878111247116128,-2.027820519109804,Revolvers,13.38
C10083,3.349047178198856,-1.129985565667449,Cash Advance Users,30.74
C10084,-1.4013652877124552,-0.0718440715187452,Dormant/Low Engagement,4.72
C10085,0.674767776090233,-0.968106404631633,Revolvers,26.93
C10086,-0.7680770539032462,0.3413459734413203,Dormant/Low Engagement,22.33
C10087,-1.821284881908668,0.1999469983363062,Dormant/Low Engagement,3.63
C10088,0.3895566998707577,2.740980026302604,Transactors,34.51
C10089,-0.0460055577166285,1.1459093668026514,Dormant/Low Engagement,25.26
